OK | rec=694e4fa7aca96f5efbe2ff25 | turn=1
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=3
OK | rec=6993e341a28413914bf02c31 | turn=1
OK | rec=6993e341a28413914bf02c31 | turn=2
OK | rec=6993e341a28413914bf02c31 | turn=3
OK | rec=6993e655a28413914bf02cd1 | turn=1
OK | rec=6993e655a28413914bf02cd1 | turn=3
OK | rec=6993e341a28413914bf02c31 | turn=1
OK | rec=6993e341a28413914bf02c31 | turn=2
OK | rec=6993e341a28413914bf02c31 | turn=3
OK | rec=6993e341a28413914bf02c31 | turn=1
OK | rec=6993e341a28413914bf02c31 | turn=2
OK | rec=6993e341a28413914bf02c31 | turn=3
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=1
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=3
OK | rec=6993e341a28413914bf02c31 | turn=1
OK | rec=6993e341a28413914bf02c31 | turn=2
OK | rec=6993e655a28413914bf02cd1 | turn=1
OK | rec=6993e655a28413914bf02cd1 | turn=2
OK | rec=6993e655a28413914bf02cd1 | turn=3
OK | rec=6993e655a28413914bf02cd1 | turn=2
OK | rec=6993e655a28413914bf02cd1 | turn=3
OK | rec=6974a1a1af17f554aa20831d | turn=1
OK | rec=6974a1a1af17f554aa20831d | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=1
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=2
OK | rec=6993e341a28413914bf02c31 | turn=1
OK | rec=6993e341a28413914bf02c31 | turn=2
OK | rec=6993e341a28413914bf02c31 | turn=3
OK | rec=6974a1a1af17f554aa20831d | turn=1
OK | rec=6974a1a1af17f554aa20831d | turn=2
OK | rec=6974a1a1af17f554aa20831d | turn=3
OK | rec=6974a1a1af17f554aa20831d | turn=1
OK | rec=6974a1a1af17f554aa20831d | turn=2
OK | rec=6974a1a1af17f554aa20831d | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=1
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
