generated_id,style,source_id,crop,state,district,season,domain,generated_question,generated_answer,seed_question,seed_answer,style_call_number,followup_focus,answer_word_count,judge_grounded,judge_scope_overflow,judge_confidence,judge_issues,timestamp
si_v12_paraph_2e8b5d83_2,paraphrase_formal,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,Does the implementation of integrated management strategies effectively control leaf curl disease in bell pepper (Capsicum annuum)?,"Leaf curl disease in bell pepper (Capsicum annuum) is caused by begomoviruses, including Chilli leaf curl virus (ChiLCV), transmitted by whiteflies (Bemisia tabaci). Key symptoms include leaf curling, stunted growth, abscission of flower buds, and chlorotic ring spots. Control measures focus on integrated management: 

1. Cultivar resistance: Plant resistant hybrid CH-27. 
2. Sanitary practices: Rogue out and destroy infected plants. 
3. Vector control: Apply insecticides such as 160 ml pyriproxyfen 10 EC per acre. 
4. Seed treatment: Soak seeds in 150 g trisodium orthophosphate per litre water for 30 minutes, followed by washing and drying. 
5. Physical barriers: Cover nursery beds with nylon net or straw. 
6. Crop arrangement: Intercrop with 2-3 rows of maize/sorghum to limit aphid spread. 
7. Cultural practices: Avoid monoculture and use disease-free seeds. 

These strategies reduce viral incidence by targeting insect vectors and seed-borne inoculum.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",2,,140,True,False,high,,2026-04-15T06:40:05.562471+00:00
si_v12_paraph_30fd3ec8_4,paraphrase_formal,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,What are the integrated management strategies for controlling leaf curl disease in Capsicum annuum?,"Leaf curl disease in Capsicum annuum, primarily caused by Chilli leaf curl virus (ChiLCV) transmitted by Bemisia tabaci, requires multifaceted control approaches. Key strategies include:

1. **Cultural Practices**: Rogue out and destroy infected plants; avoid monoculture; select healthy, disease-free seeds; and implement crop rotation with non-host species.
2. **Resistant Varieties**: Cultivate resistant hybrids such as CH-27 to mitigate disease impact.
3. **Vector Management**: Apply insecticidal sprays like pyriproxyfen 10 EC (160 ml/100 L water/acre) to control whitefly populations. Use nylon nets or straw covers on nursery beds to protect seedlings.
4. **Seed Treatment**: Soak seeds in 150 g trisodium orthophosphate per litre of water for 30 minutes, followed by washing and drying before sowing.
5. **Physical Barriers**: Establish 2-3 rows of maize or sorghum as border crops to restrict aphid vectors.

These measures collectively reduce viral incidence by targeting both pathogen transmission and vector populations.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",4,,145,True,False,high,,2026-04-15T06:40:17.476049+00:00
si_v12_paraph_ed5b46b4_5,paraphrase_formal,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,Which control measures are effective for managing leaf curl disease in bell pepper?,"1. Cultivate resistant hybrid CH-27. 2. Remove and destroy infected plants. 3. Apply insecticides to control whiteflies in nurseries and fields. 4. Avoid growing chilli crops in monoculture. 5. Use healthy, disease-free seeds. 6. Soak seeds in 150 g Trisodium orthriphosphate per litre of water for 30 minutes, then wash and dry. 7. Cover nursery beds with nylon net or straw to prevent viral infection. 8. Plant 2-3 rows of maize or sorghum as border crops to limit aphid spread. 9. Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre. For further guidance or clarification,",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",5,,99,True,False,high,,2026-04-15T06:40:24.333249+00:00
si_v12_paraph_0eff4f42_6,paraphrase_formal,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,"When considering effective control measures for leaf curl disease in bell pepper, what specific strategies are recommended to mitigate viral transmission and crop damage?","To address leaf curl disease in bell pepper, the following strategies are recommended:

1. Use of resistant hybrid varieties, such as CH-27, to enhance plant resilience.
2. Immediate removal and destruction of virus-infected plants to prevent spread.
3. Application of insecticides to manage whitefly vectors, including spraying 160 ml pyriproxyfen 10 EC per acre in 100 litres of water.
4. Seed treatment with 150 g trisodium orthophosphate per litre of water for 30 minutes, followed by washing and drying before sowing.
5. Implementation of cultural practices, such as avoiding monoculture, selecting disease-free seeds, and raising border crops like maize or sorghum to restrict aphid vectors.
6. Protection of nursery beds using nylon nets or straw to safeguard seedlings from viral infection.

These measures focus on integrated management to reduce viral incidence and optimize crop health.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",6,,135,True,False,high,,2026-04-15T06:40:29.160089+00:00
si_v12_paraph_6c501df0_7,paraphrase_formal,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,Why is integrated management essential for controlling leaf curl disease in bell pepper (Capsicum annuum)?,"Integrated management strategies are critical for addressing leaf curl disease in bell pepper, caused by begomoviruses such as Chilli leaf curl virus (ChiLCV) transmitted by whiteflies (Bemisia tabaci). Key control strategies include: 1. Cultivar resistance by growing hybrid CH-27. 2. Rogueing and destroying infected plants to prevent spread. 3. Insecticide application for whitefly control, including 160 ml pyriproxyfen 10 EC per acre in 100 litres water. 4. Seed treatment with 150 g trisodium orthophosphate per litre water for 30 minutes, followed by rinsing and drying. 5. Nursery protection using nylon nets or straw. 6. Border crop establishment (maize/sorghum) to restrict aphid vectors. 7. Avoiding monoculture practices. Disease symptoms include leaf curling, stunted growth, flower bud abscission, and mosaic patterns with chlorotic spots. Cultural practices such as selecting disease-free seeds and mechanical interventions remain central due to limited chemical controls for viral infections.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",7,,142,True,False,high,,2026-04-15T06:40:59.467037+00:00
si_v12_paraph_c1513b09_8,paraphrase_short,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,Is growing resistant hybrid CH-27 effective for leaf curl control?,"Yes, growing resistant hybrid CH-27 is recommended. It helps in managing leaf curl disease in bell pepper.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",1,,17,True,False,high,,2026-04-15T06:41:02.504003+00:00
si_v12_paraph_500b0ce5_9,paraphrase_short,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,Does using resistant hybrid CH-27 control leaf curl in bell pepper?,"Yes, growing resistant hybrid CH-27 is recommended. It helps reduce leaf curl disease impact in bell pepper.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",2,,17,True,False,high,,2026-04-15T06:41:07.592898+00:00
si_v12_paraph_b66b0bf1_10,paraphrase_short,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,Are pyriproxyfen 10 EC sprays effective against whiteflies in bell pepper?,"Yes, spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre to control whiteflies. This reduces viral transmission and is part of integrated management for leaf curl disease.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",3,,31,True,False,high,,2026-04-15T06:41:11.149299+00:00
si_v12_paraph_b959d930_11,paraphrase_short,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,What are control measures for bell pepper leaf curl?,"Control includes growing resistant hybrid CH-27, removing infected plants, and spraying insecticides for whitefly. Seed treatment with Trisodium orthriphosphate, nursery nets, border crops, and pyriproxyfen 10 EC application are recommended.",What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",4,,30,True,False,high,,2026-04-15T06:41:15.387820+00:00
si_v12_paraph_fae1542a_13,paraphrase_short,69b8d78ebc1a32fe548e9c0a,Chilli,Punjab,FAQ,Kharif,Disease,When should Trisodium orthriphosphate be applied?,Soak seeds in 150 g/l solution for 30 minutes to inhibit seed-borne inoculum. Wash and dry seeds before sowing.,What are the effective control measures for leaf curl disease in bell pepper?,"Leaf curl in bell pepper (Capsicum annuum) is a serious viral disease that significantly affects crop yield and quality. This condition is primarily caused by begomoviruses, particularly the Chilli leaf curl virus (ChiLCV), which is transmitted by whiteflies (Bemisia tabaci). Understanding the disease and implementing integrated management strategies is essential for effective control.  Disease Symptoms: -Leaves curl towards midrib and become deformed.  -Stunted plant growth due to shortened internodes and leaves greatly reduced in size.  -Flower buds abcise before attaining full size and anthers do not contain pollen grains. -The virus is generally transmitted by whitefly.  -So control measures of whitefly in this regard would be helpful.  Mosaic Viruses: Light green and dark green patches on the leaves. Stunted plant growth during early stages. Yellowing, chlorotic ring spots on leaves and fruits.  Control Measures: - Control measures are not known for majority of viral diseases. Hence, mechanical, cultural methods are mostly recommended. - Grow resistant hybrid CH-27. - Rogue out and destroy the virus infected plants.  - Spray with recommended insecticides for control of whitefly in nursery and field. - Avoid monoculture of chilli crop. - Selection of healthy and disease - free seed. - Suitable insecticidal sprays reduce the incidence of viral diseases, since majority of viral diseases are transmitted by insect vectors. - Soaking seeds in a solution containing 150 g Trisodium orthriphosphate per litre of water for 30 minutes inhibits seed - borne inoculum. - Treated seed should be washed with fresh water and dried before sowing. - Nursery beds should be covered with nylon net or straw to protect the seedlings from viral infection. - Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors. - Spray 160 ml pyriproxyfen 10 EC in 100 litres of water per acre.  For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",6,,19,True,False,high,,2026-04-15T06:41:36.821681+00:00
